idx,intro,code
1,环境基线,A0-B0-C0-D0-E0
2,合法用户静坐,A1-B1-C0-D0-E0
3,合法用户打字,A1-B2-C0-D0-E0
4,合法用户轻微摇晃,A1-B3-C0-D0-E0
5,合法用户静坐，窥视者1.0米-0°-静止站立,A1-B1-C1-D1-E1
6,合法用户静坐，窥视者1.0米-0°-慢速路过,A1-B1-C1-D1-E2
7,合法用户静坐，窥视者1.0米-0°-靠近并驻足,A1-B1-C1-D1-E3
8,合法用户静坐，窥视者1.0米-0°-正常路过,A1-B1-C1-D1-E4
9,合法用户静坐，窥视者1.0米-60°-静止站立,A1-B1-C1-D2-E1
10,合法用户静坐，窥视者1.0米-60°-靠近并驻足,A1-B1-C1-D2-E3
11,合法用户静坐，窥视者2.0米-0°-静止站立,A1-B1-C2-D1-E1
12,合法用户静坐，窥视者2.0米-0°-慢速路过,A1-B1-C2-D1-E2
13,合法用户静坐，窥视者2.0米-0°-靠近并驻足,A1-B1-C2-D1-E3
14,合法用户静坐，窥视者2.0米-0°-正常路过,A1-B1-C2-D1-E4
15,合法用户静坐，窥视者2.0米-60°-静止站立,A1-B1-C2-D2-E1
16,合法用户静坐，窥视者2.0米-60°-靠近并驻足,A1-B1-C2-D2-E3
17,合法用户打字，窥视者1.0米-0°-静止站立,A1-B2-C1-D1-E1
18,合法用户打字，窥视者1.0米-0°-慢速路过,A1-B2-C1-D1-E2
19,合法用户打字，窥视者1.0米-0°-靠近并驻足,A1-B2-C1-D1-E3
20,合法用户打字，窥视者1.0米-0°-正常路过,A1-B2-C1-D1-E4
21,合法用户打字，窥视者1.0米-60°-静止站立,A1-B2-C1-D2-E1
22,合法用户打字，窥视者1.0米-60°-靠近并驻足,A1-B2-C1-D2-E3
23,合法用户打字，窥视者2.0米-0°-静止站立,A1-B2-C2-D1-E1
24,合法用户打字，窥视者2.0米-0°-慢速路过,A1-B2-C2-D1-E2
25,合法用户打字，窥视者2.0米-0°-靠近并驻足,A1-B2-C2-D1-E3
26,合法用户打字，窥视者2.0米-0°-正常路过,A1-B2-C2-D1-E4
27,合法用户打字，窥视者2.0米-60°-静止站立,A1-B2-C2-D2-E1
28,合法用户打字，窥视者2.0米-60°-靠近并驻足,A1-B2-C2-D2-E3
29,合法用户轻微摇晃，窥视者1.0米-0°-静止站立,A1-B3-C1-D1-E1
30,合法用户轻微摇晃，窥视者1.0米-0°-慢速路过,A1-B3-C1-D1-E2
31,合法用户轻微摇晃，窥视者1.0米-0°-靠近并驻足,A1-B3-C1-D1-E3
32,合法用户轻微摇晃，窥视者1.0米-0°-正常路过,A1-B3-C1-D1-E4
33,合法用户轻微摇晃，窥视者1.0米-60°-静止站立,A1-B3-C1-D2-E1
34,合法用户轻微摇晃，窥视者1.0米-60°-靠近并驻足,A1-B3-C1-D2-E3
35,合法用户轻微摇晃，窥视者2.0米-0°-静止站立,A1-B3-C2-D1-E1
36,合法用户轻微摇晃，窥视者2.0米-0°-慢速路过,A1-B3-C2-D1-E2
37,合法用户轻微摇晃，窥视者2.0米-0°-靠近并驻足,A1-B3-C2-D1-E3
38,合法用户轻微摇晃，窥视者2.0米-0°-正常路过,A1-B3-C2-D1-E4
39,合法用户轻微摇晃，窥视者2.0米-60°-静止站立,A1-B3-C2-D2-E1
40,合法用户轻微摇晃，窥视者2.0米-60°-靠近并驻足,A1-B3-C2-D2-E3
