idx,intro,code
1,环境基线,A0-B0-C0-D0-E0
2,合法用户静坐,A1-B1-C0-D0-E0
3,合法用户轻微摇晃,A1-B3-C0-D0-E0
4,合法用户静坐，窥视者1.0米-0°-静止站立,A1-B1-C1-D1-E1
5,合法用户静坐，窥视者1.0米-0°-慢速路过,A1-B1-C1-D1-E2
6,合法用户静坐，窥视者1.0米-0°-靠近并驻足,A1-B1-C1-D1-E3
7,合法用户静坐，窥视者1.0米-0°-正常路过,A1-B1-C1-D1-E4
8,合法用户静坐，窥视者1.0米-60°-静止站立,A1-B1-C1-D2-E1
9,合法用户静坐，窥视者1.0米-60°-靠近并驻足,A1-B1-C1-D2-E3
10,合法用户静坐，窥视者2.0米-0°-静止站立,A1-B1-C2-D1-E1
11,合法用户静坐，窥视者2.0米-0°-慢速路过,A1-B1-C2-D1-E2
12,合法用户静坐，窥视者2.0米-0°-靠近并驻足,A1-B1-C2-D1-E3
13,合法用户静坐，窥视者2.0米-0°-正常路过,A1-B1-C2-D1-E4
14,合法用户静坐，窥视者2.0米-60°-静止站立,A1-B1-C2-D2-E1
15,合法用户静坐，窥视者2.0米-60°-靠近并驻足,A1-B1-C2-D2-E3
16,合法用户轻微摇晃，窥视者1.0米-0°-静止站立,A1-B3-C1-D1-E1
17,合法用户轻微摇晃，窥视者1.0米-0°-慢速路过,A1-B3-C1-D1-E2
18,合法用户轻微摇晃，窥视者1.0米-0°-靠近并驻足,A1-B3-C1-D1-E3
19,合法用户轻微摇晃，窥视者1.0米-0°-正常路过,A1-B3-C1-D1-E4
20,合法用户轻微摇晃，窥视者1.0米-60°-静止站立,A1-B3-C1-D2-E1
21,合法用户轻微摇晃，窥视者1.0米-60°-靠近并驻足,A1-B3-C1-D2-E3
22,合法用户轻微摇晃，窥视者2.0米-0°-静止站立,A1-B3-C2-D1-E1
23,合法用户轻微摇晃，窥视者2.0米-0°-慢速路过,A1-B3-C2-D1-E2
24,合法用户轻微摇晃，窥视者2.0米-0°-靠近并驻足,A1-B3-C2-D1-E3
25,合法用户轻微摇晃，窥视者2.0米-0°-正常路过,A1-B3-C2-D1-E4
26,合法用户轻微摇晃，窥视者2.0米-60°-静止站立,A1-B3-C2-D2-E1
27,合法用户轻微摇晃，窥视者2.0米-60°-靠近并驻足,A1-B3-C2-D2-E3
